Refactoring Type	Source Method	Target Class
Move Method	org.apache.lucene.benchmark.byTask.PerfRunData::resetInputs():void 	 org.apache.lucene.benchmark.byTask.feeds.DocMaker
Move Method	org.apache.lucene.benchmark.standard.StandardBenchmarker::makeDocument(java.io.File, java.lang.String[], boolean, boolean, boolean):org.apache.lucene.document.Document 	 org.apache.lucene.document.Document
Move Method	org.apache.lucene.gdata.search.analysis.ContentStrategy::getFieldStrategy(org.apache.lucene.gdata.search.config.IndexSchemaField):org.apache.lucene.gdata.search.analysis.ContentStrategy 	 org.apache.lucene.gdata.utils.ReflectionUtils
Move Method	org.apache.lucene.gdata.storage.lucenestorage.StorageCoreController::writeRecoverEntry(org.apache.lucene.gdata.storage.lucenestorage.StorageEntryWrapper):void 	 org.apache.lucene.gdata.storage.lucenestorage.recover.RecoverController
Move Method	org.apache.lucene.gdata.storage.lucenestorage.StorageEntryWrapper::buildContent():java.lang.String 	 org.apache.lucene.gdata.server.registry.ProvidedService
Move Method	org.apache.lucene.gdata.gom.core.GOMBuilder::startEntryDocument(org.apache.lucene.gdata.gom.GOMDocument):org.apache.lucene.gdata.gom.GOMEntry 	 org.apache.lucene.gdata.gom.core.GOMFactory
Move Method	lucli.LuceneMethods::invertDocument(org.apache.lucene.document.Document):void 	 org.apache.lucene.document.Field
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getLoggingAnalyzer(org.apache.lucene.analysis.Analyzer, java.io.PrintStream, java.lang.String):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.TokenStream
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getMaxTokenAnalyzer(org.apache.lucene.analysis.Analyzer, int):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.TokenStream
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getPorterStemmerAnalyzer(org.apache.lucene.analysis.Analyzer):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getSynonymAnalyzer(org.apache.lucene.analysis.Analyzer, org.apache.lucene.index.memory.SynonymMap, int):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getTokenCachingAnalyzer(org.apache.lucene.analysis.Analyzer):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getMostFrequentTerms(org.apache.lucene.analysis.Analyzer, java.lang.String, int):java.lang.String[] 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.queryParser.precedence.PrecedenceQueryParser::getFieldQuery(java.lang.String, java.lang.String):org.apache.lucene.search.Query 	 org.apache.lucene.analysis.Analyzer
