Refactoring Type	Source Method	Target Class
Move Method	org.apache.lucene.analysis.compound.HyphenationCompoundWordTokenFilter::getHyphenationTree(java.io.Reader):org.apache.lucene.analysis.compound.hyphenation.HyphenationTree 	 org.apache.lucene.analysis.compound.hyphenation.HyphenationTree
Move Method	org.apache.lucene.benchmark.byTask.PerfRunData::resetInputs():void 	 org.apache.lucene.benchmark.byTask.feeds.DocMaker
Move Method	org.apache.lucene.benchmark.standard.StandardBenchmarker::makeDocument(java.io.File, java.lang.String[], boolean, boolean, boolean):org.apache.lucene.document.Document 	 org.apache.lucene.document.Document
Move Method	org.apache.lucene.search.highlight.WeightedSpanTermExtractor::extractWeightedSpanTerms(java.util.Map, org.apache.lucene.search.spans.SpanQuery):void 	 org.apache.lucene.search.spans.Spans
Move Method	org.apache.lucene.store.instantiated.InstantiatedIndexWriter::commit():void 	 org.apache.lucene.store.instantiated.InstantiatedDocument
Move Method	lucli.LuceneMethods::invertDocument(org.apache.lucene.document.Document):void 	 org.apache.lucene.document.Field
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getLoggingAnalyzer(org.apache.lucene.analysis.Analyzer, java.io.PrintStream, java.lang.String):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.TokenStream
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getMaxTokenAnalyzer(org.apache.lucene.analysis.Analyzer, int):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.TokenStream
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getPorterStemmerAnalyzer(org.apache.lucene.analysis.Analyzer):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getSynonymAnalyzer(org.apache.lucene.analysis.Analyzer, org.apache.lucene.index.memory.SynonymMap, int):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getTokenCachingAnalyzer(org.apache.lucene.analysis.Analyzer):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getMostFrequentTerms(org.apache.lucene.analysis.Analyzer, java.lang.String, int):java.lang.String[] 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.TermVectorAccessor::accept(org.apache.lucene.index.IndexReader, int, java.lang.String, org.apache.lucene.index.TermVectorMapper):void 	 org.apache.lucene.index.TermVectorAccessor.TermVectorMapperDecorator
